episode,length,total_reward,J15_reward,J16_reward,J17_reward,J18_reward
879174778071780278,200,-3.759999999999998,-0.97,-1.0300000000000002,-0.75,-1.01
446263082880907822,200,-7.459999999999998,-2.35,-2.06,-2.21,-0.84
489763905826156569,200,-2.250000000000018,-0.44999999999999996,-1.1799999999999995,-0.45,-0.17000000000000012
470928034210529180,200,-2.630000000000008,-0.37,-0.2900000000000001,-1.6099999999999997,-0.36000000000000004
660833627198200558,200,-10.839999999999987,-8.13,-1.35,-0.97,-0.39
834636803262598556,200,-4.470000000000003,-0.99,-1.62,-1.610000000000001,-0.24999999999999978
99010082752458296,200,-5.6999999999999895,-0.9,-0.23999999999999977,-1.18,-3.38
564813691747599040,200,-8.679999999999986,-0.28999999999999954,-3.7,-2.21,-2.48
378593232185198463,200,-12.309999999999997,-6.68,-4.85,-0.5699999999999988,-0.20999999999999988
12775540181025461,200,-5.220000000000004,-3.15,-0.7899999999999998,-0.3899999999999999,-0.89
498769574007829480,200,-3.699999999999994,-1.9200000000000002,-0.7100000000000004,-0.39000000000000024,-0.6799999999999996
82437219226277968,200,-21.429999999999986,-8.75,-9.91,-2.44,-0.33
959288970025247,200,-6.900000000000002,-4.28,-1.06,-1.41,-0.15
864566456941754330,200,-2.1100000000000096,-0.29,-1.25,-0.52,-0.05
927288527966916792,200,-3.2200000000000055,-0.48,-0.4400000000000001,-1.88,-0.41999999999999976
12646252416109161,200,-3.1899999999999893,-0.030000000000000027,-2.96,-0.17,-0.029999999999999832
104188764163152335,200,-3.2399999999999998,-0.97,-1.3599999999999999,-0.6499999999999999,-0.26
307102613364830730,200,-3.780000000000007,-0.29000000000000004,-1.62,-0.45999999999999996,-1.41
950645136726593340,200,-1.5699999999999983,-0.16999999999999993,-0.57,-0.4900000000000002,-0.34
142523326094005277,200,-2.930000000000014,-0.9000000000000018,-0.45,-0.61,-0.97
720281458991775143,200,-11.080000000000004,-0.8599999999999995,-4.360000000000001,-5.4,-0.4599999999999999
787611759822232307,200,-9.539999999999994,-3.29,-5.41,-0.5799999999999995,-0.26
